family,dataset,pooling,audit,layer_idx,depth_fraction,llm_layer_number,vlm_layer_number,layer_number,seed,width_factor,d_sae,l1,normalize,dom_margin,train_examples,eval_examples,sae_steps,MFI,MFI_ci_low,MFI_ci_high,FMP,image_driven_frac,text_driven_frac,both_driven_frac,mean_text_delta,mean_image_delta,matched_gini,matched_eff_dim,image_only_mean_activation,llm_mean_activation,vlm_train_rec_r2,vlm_eval_rec_r2,llm_train_rec_r2,vlm_eval_l0,vlm_eval_active_frac,vlm_eval_dead_frac,vlm_eval_z_abs_mean
smol,flickr30k,final_quarter,False,0,0.0,0,0,0,11,2.0,4096,0.0003,False,1.1,1024,512,1200,0.051968835294246674,0.05124798557690156,0.05269609554034105,0.088623046875,0.08837890625,0.0009765625,0.000732421875,0.002316485159099102,0.0496523454785347,0.9352001314637316,285.8879058266624,0.13815341889858246,0.10689952224493027,0.9937219149212821,0.9911387063233389,0.9991805510989169,308.23046875,0.07525157928466797,0.91064453125,0.13305862247943878
smol,flickr30k,final_quarter,False,0,0.0,0,0,0,11,2.0,4096,0.0003,False,1.25,1024,512,1200,0.051968835294246674,0.05124798557690156,0.05269609554034105,0.087158203125,0.087646484375,0.0009765625,0.00146484375,0.002316485159099102,0.0496523454785347,0.9352001314637316,285.8879058266624,0.13815341889858246,0.10689952224493027,0.9937219149212821,0.9911387063233389,0.9991805510989169,308.23046875,0.07525157928466797,0.91064453125,0.13305862247943878
smol,flickr30k,final_quarter,False,0,0.0,0,0,0,11,2.0,4096,0.0003,False,1.5,1024,512,1200,0.051968835294246674,0.05124798557690156,0.05269609554034105,0.086669921875,0.08740234375,0.0009765625,0.001708984375,0.002316485159099102,0.0496523454785347,0.9352001314637316,285.8879058266624,0.13815341889858246,0.10689952224493027,0.9937219149212821,0.9911387063233389,0.9991805510989169,308.23046875,0.07525157928466797,0.91064453125,0.13305862247943878
smol,flickr30k,final_quarter,False,0,0.0,0,0,0,11,2.0,4096,0.0003,True,1.1,1024,512,1200,0.4720768332481384,0.4667561527472571,0.4770129736090894,1.0,1.0,0.0,0.0,0.023464646190404892,0.4486122131347656,0.08806696186536189,3929.937025840107,0.3131133019924164,0.32654646039009094,0.9971135222204618,0.8855925565320759,0.9872599206196772,1893.75,0.46234130859375,0.0,0.30450204014778137
smol,flickr30k,final_quarter,False,0,0.0,0,0,0,11,2.0,4096,0.0003,True,1.25,1024,512,1200,0.4720768332481384,0.4667561527472571,0.4770129736090894,1.0,1.0,0.0,0.0,0.023464646190404892,0.4486122131347656,0.08806696186536189,3929.937025840107,0.3131133019924164,0.32654646039009094,0.9971135222204618,0.8855925565320759,0.9872599206196772,1893.75,0.46234130859375,0.0,0.30450204014778137
smol,flickr30k,final_quarter,False,0,0.0,0,0,0,11,2.0,4096,0.0003,True,1.5,1024,512,1200,0.4720768332481384,0.4667561527472571,0.4770129736090894,1.0,1.0,0.0,0.0,0.023464646190404892,0.4486122131347656,0.08806696186536189,3929.937025840107,0.3131133019924164,0.32654646039009094,0.9971135222204618,0.8855925565320759,0.9872599206196772,1893.75,0.46234130859375,0.0,0.30450204014778137
smol,flickr30k,final_quarter,False,0,0.0,0,0,0,11,2.0,4096,0.001,False,1.1,1024,512,1200,0.05157221853733063,0.05086186679645834,0.05227735961025246,0.088623046875,0.088134765625,0.0009765625,0.00048828125,0.0022553622256964445,0.04931686073541641,0.9361770803206397,281.0825667025253,0.13387034833431244,0.09464935213327408,0.9937287565132994,0.9911454805469007,0.996266048394114,304.60546875,0.07436656951904297,0.9111328125,0.1289386749267578
smol,flickr30k,final_quarter,False,0,0.0,0,0,0,11,2.0,4096,0.001,False,1.25,1024,512,1200,0.05157221853733063,0.05086186679645834,0.05227735961025246,0.087158203125,0.08740234375,0.0009765625,0.001220703125,0.0022553622256964445,0.04931686073541641,0.9361770803206397,281.0825667025253,0.13387034833431244,0.09464935213327408,0.9937287565132994,0.9911454805469007,0.996266048394114,304.60546875,0.07436656951904297,0.9111328125,0.1289386749267578
smol,flickr30k,final_quarter,False,0,0.0,0,0,0,11,2.0,4096,0.001,False,1.5,1024,512,1200,0.05157221853733063,0.05086186679645834,0.05227735961025246,0.086669921875,0.087158203125,0.0009765625,0.00146484375,0.0022553622256964445,0.04931686073541641,0.9361770803206397,281.0825667025253,0.13387034833431244,0.09464935213327408,0.9937287565132994,0.9911454805469007,0.996266048394114,304.60546875,0.07436656951904297,0.9111328125,0.1289386749267578
smol,flickr30k,final_quarter,False,0,0.0,0,0,0,11,2.0,4096,0.001,True,1.1,1024,512,1200,0.4622326195240021,0.4571518593598739,0.4671738864344661,1.0,1.0,0.0,0.0,0.02298182249069214,0.43925076723098755,0.0892660954478196,3935.1468393455007,0.30574071407318115,0.321021169424057,0.9964934885472302,0.8856634476890674,0.9885695075046825,1880.724609375,0.45916128158569336,0.0,0.2973406910896301
